id,collection,dspace.entity.type,nrcan.serial.code,dc.title[en],dc.title[fr],nrcan.serial.issn,nrcan.serial.issne,nrcan.serial.notes,nrcan.serial.urlname,nrcan.serial.url
+,123456789s/22,Serial,procomins,Proceedings of the Combustion Institute,Proceedings of the Combustion Institute,1540-7489,,,Proceedings of the Combustion Institute ,a https://www.sciencedirect.com/journal/proceedings-of-the-combustion-institute
+,123456789s/22,Serial,prencosc,Progress in Energy and Combustion Science,Progress in Energy and Combustion Science,0360-1285,,,Progress in Energy and Combustion Science ,a https://www.sciencedirect.com/journal/progress-in-energy-and-combustion-science
+,123456789s/22,Serial,solstion,Solid State Ionics,Solid State Ionics,0167-2738,,,Solid State Ionics ,a https://www.sciencedirect.com/journal/solid-state-ionics
+,123456789s/22,Serial,sapambs,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy,1386-1425,,,Spectrochimica Acta Part A: Molecular and Biomolecular Spectroscopy ,a https://www.sciencedirect.com/journal/spectrochimica-acta-part-a-molecular-and-biomolecular-spectroscopy
+,123456789s/22,Serial,sursci,Surface Science,Surface Science,0039-6028,,,Surface Science ,a https://www.sciencedirect.com/journal/surface-science
+,123456789s/22,Serial,susmattec,Sustainable Materials and Technologies,Sustainable Materials and Technologies,2214-9937,,,Sustainable Materials and Technologies ,a https://www.sciencedirect.com/journal/sustainable-materials-and-technologies
+,123456789s/22,Serial,ultrason,Ultrasonics,Ultrasonics,0041-624X,,,Ultrasonics ,a https://www.sciencedirect.com/journal/ultrasonics
+,123456789s/22,Serial,vibspec,Vibrational Spectroscopy,Vibrational Spectroscopy,0924-2031,,,Vibrational Spectroscopy ,a https://www.sciencedirect.com/journal/vibrational-spectroscopy
+,123456789s/22,Serial,wasteman,Waste Management,Waste Management,0956-053X,,,Waste Management ,a https://www.sciencedirect.com/journal/waste-management
+,123456789s/22,Serial,wear,Wear,Wear,0043-1648,,,Wear ,a https://www.sciencedirect.com/journal/wear
+,123456789s/22,Serial,earsysenvsci,Earth Systems and Environmental Sciences,Earth Systems and Environmental Sciences,,,,Earth Systems and Environmental Sciences ,a https://www.sciencedirect.com/referencework/9780124095489/ea rth-systems-and-environmental-sciences
+,123456789s/22,Serial,advmatres,Advanced Materials Research,Advanced Materials Research,1022-6680,1662-8985,,Advanced Materials Research ,a https://www.scientific.net/AMR/Details
+,123456789s/22,Serial,matscifor,Materials Science Forum,Materials Science Forum,1662-9752,,,Materials Science Forum ,a https://www.scientific.net/MSF
+,123456789s/22,Serial,sostphen,Solid State Phenomena,Solid State Phenomena,1662-9779,,,Solid State Phenomena ,a https://www.scientific.net/SSP
+,123456789s/22,Serial,scdril,Scientific Drilling,Scientific Drilling,1816-8957,1816-3459,,Scientific Drilling ,a https://www.scientific-drilling.net/for_authors/article_processing_charges.html
+,123456789s/22,Serial,indconcj,Indian Concrete Journal,Indian Concrete Journal,00194565,,,Indian Concrete Journal ,a https://www.scimagojr.com/journalsearch.php?q=16129&tip=sid
+,123456789s/22,Serial,minmetproc,Minerals and Metallurgical Processing,Minerals and Metallurgical Processing,,,,Minerals and Metallurgical Processing ,a https://www.scimagojr.com/journalsearch.php?q=16934&tip=sid
+,123456789s/22,Serial,refscitec,Refrigeration Science and Technology,Refrigeration Science and Technology,0151-1637,,,Refrigeration Science and Technology ,a https://www.scimagojr.com/journalsearch.php?q=21100307457&tip=sid&clean=0
+,123456789s/22,Serial,minmetmats,"Minerals, Metals and Materials Series","Minerals, Metals and Materials Series",,,,"Minerals, Metals and Materials Series ",a https://www.scimagojr.com/journalsearch.php?q=21100852711&tip=sid&clean=0
+,123456789s/22,Serial,metmattransbpmmps,Metallurgical and Materials Transactions B: Process Metallurgy and Materials Processing Science,Metallurgical and Materials Transactions B: Process Metallurgy and Materials Processing Science,,1095-9203,,Metallurgical and Materials Transactions B: Process Metallurgy and Materials Processing Science ,a https://www.scimagojr.com/journalsearch.php?q=27357&tip=sid
+,123456789s/22,Serial,jmventssa,Journal of the Mine Ventilation Society of South Africa,Journal of the Mine Ventilation Society of South Africa,0368-3206,,,Journal of the Mine Ventilation Society of South Africa ,a https://www.scimagojr.com/journalsearch.php?q=32513&tip=sid
+,123456789s/22,Serial,mettransb,Metallurgical Transactions B,Metallurgical Transactions B,03602141,,,Metallurgical Transactions B ,a https://www.scimagojr.com/journalsearch.php?q=34774&tip=sid&clean=0
+,123456789s/22,Serial,matdes,Materials and Design,Materials and Design,0264-1275,1873-4197,,Materials and Design ,a https://www.scopus.com/sourceid/17797?origin=recordpage
+,123456789s/22,Serial,sustenteass,Sustainable Energy Technologies and Assessments,Sustainable Energy Technologies and Assessments,,2213-1388,,Sustainable Energy Technologies and Assessments ,a https://www.scopus.com/sourceid/21100239262?origin=recordpag e
+,123456789s/22,Serial,materials,Materials,Materials,1996-1944,,,Materials ,a https://www.scopus.com/sourceid/76627?origin=recordpage
+,123456789s/22,Serial,econgeol2,Economic Geology,Economic Geology,,1943-2682,"vol. 94 (1999)- (subtitled, Bulletin of the Society of Economic Geologists)",Economic Geology ,a https://www.segweb.org/SEG/Publications/Economic Geology/SEG/ Publications/Economic Geology.aspx
+,123456789s/22,Serial,inpogrec,Improved Oil and Gas Recovery,Improved Oil and Gas Recovery,2688-8246,,,Improved Oil and Gas Recovery ,a https://www.smartscitech.com/index.php/IOGR/index
+,123456789s/22,Serial,solide,Solid Earth,Solid Earth,1869-9529,,,Solid Earth ,a https://www.solid-earth.net/
+,123456789s/22,Serial,jbioopt,Journal of Biomedical Optics,Journal of Biomedical Optics,1560-2281,,,Journal of Biomedical Optics ,a https://www.spiedigitallibrary.org/journals/journal-of-biomedical-optics?SSO=1
+,123456789s/22,Serial,jearthsci,Journal of Earth Science,Journal of Earth Science,1674-487X,1095-9203,,Journal of Earth Science ,a https://www.springer.com/earth+sciences+and+geography/journal/12583
+,123456789s/22,Serial,arktos,arktos,arktos,2364-9453,2364-9461,,arktos ,a https://www.springer.com/earth+sciences+and+geography/journal/41063
+,123456789s/22,Serial,jom,"JOM (The Journal of The Minerals, Metals & Materials Society)",JOM,,,1989- (continues from Journal of Metals),JOM ,a https://www.springer.com/engineering/journal/11837
+,123456789s/22,Serial,snappsci,SN Applied Sciences,SN Applied Sciences,,2523-3971,,SN Applied Sciences ,a https://www.springer.com/engineering/journal/42452
+,123456789s/22,Serial,estcoast,Estuaries and Coasts,Estuaries and Coasts,1559-2723,1559-2731,,Estuaries and Coasts ,a https://www.springer.com/environment/journal/12237
+,123456789s/22,Serial,esremagte,Essential Readings in Magnesium Technology,Essential Readings in Magnesium Technology,2367-1181,,,Essential Readings in Magnesium Technology ,a https://www.springer.com/gp/book/9783319485881
+,123456789s/22,Serial,compmec,Computational Mechanics,Computational Mechanics,0178-7675,1432-0924,,Computational Mechanics ,a https://www.springer.com/journal/00466?referer=www.springeronline.com
+,123456789s/22,Serial,apcomat,Applied Composite Materials,Applied Composite Materials,0929-189X,1573-4897,,Applied Composite Materials ,a https://www.springer.com/journal/10443
+,123456789s/22,Serial,floturcom,"Flow, Turbulence and Combustion","Flow, Turbulence and Combustion",1386-6184,1573-1987,,"Flow, Turbulence and Combustion ",a https://www.springer.com/journal/10494
+,123456789s/22,Serial,aquageoc,Aquatic Geochemistry,Aquatic Geochemistry,1380-6165,1573-1421,,Aquatic Geochemistry ,a https://www.springer.com/journal/10498
+,123456789s/22,Serial,buleareng,Bulletin of Earthquake Engineering,Bulletin of Earthquake Engineering,1570-761X,,,Bulletin of Earthquake Engineering ,a https://www.springer.com/journal/10518
+,123456789s/22,Serial,bioinv,Biological Invations,Biological Invations,1387-3547,1573-1464,,Biological Invasions ,a https://www.springer.com/journal/10530
+,123456789s/22,Serial,envmodass,Environmental Modeling and Assessment,Environmental Modeling and Assessment,1420-2026,1573-2967,,Environmental Modeling and Assessment ,a https://www.springer.com/journal/10666
+,123456789s/22,Serial,fibchem,Fibre Chemistry,Fibre Chemistry,0015-0541,1573-8493,,Fibre Chemistry ,a https://www.springer.com/journal/10692
+,123456789s/22,Serial,eujwwprod,European Journal of Wood and Wood Products,European Journal of Wood and Wood Products,0018-3768,1436-736X,,European Journal of Wood and Wood Products ,a https://www.springer.com/journal/107
+,123456789s/22,Serial,ijfracture,International Journal of Fracture,International Journal of Fracture,0376-9429,1573-2673,,International Journal of Fracture ,a https://www.springer.com/journal/10704
+,123456789s/22,Serial,injthermo,International Journal of Thermophysics,International Journal of Thermophysics,0195-928X,1572-9567,,International Journal of Thermophysics ,a https://www.springer.com/journal/10765
+,123456789s/22,Serial,jintman,Journal of Intelligent Manufacturing,Journal of Intelligent Manufacturing,0956-5515,1572-8145,,Journal of Intelligent Manufacturing ,a https://www.springer.com/journal/10845
+,123456789s/22,Serial,jmatsci,Journal of Materials Science,Journal of Materials Science,0022-2461,1573-4803,,Journal of Materials Science ,a https://www.springer.com/journal/10853
+,123456789s/22,Serial,jseis,Journal of Seismology,Journal of Seismology,1383-4649,1573-157X,vol. 1 (1997)-,Journal of Seismology ,a https://www.springer.com/journal/10950
+,123456789s/22,Serial,masgchan,Mitigation and Adaptation Strategies for Global Change,Mitigation and Adaptation Strategies for Global Change,1381-2386,1573-1596,,Mitigation and Adaptation Strategies for Global Change ,a https://www.springer.com/journal/11027
+,123456789s/22,Serial,jnanores,Journal of Nanoparticle Research,Journal of Nanoparticle Research,1388-0764,1572-896X,,Journal of Nanoparticle Research ,a https://www.springer.com/journal/11051
+,123456789s/22,Serial,plantsoil,Plant and Soil,Plant and Soil,,,cfs,Plant and Soil ,a https://www.springer.com/journal/11104
+,123456789s/22,Serial,thfochen,Theoretical Foundations of Chemical Engineering,Theoretical Foundations of Chemical Engineering,0040-5795,1608-3431,,Theoretical Foundations of Chemical Engineering ,a https://www.springer.com/journal/11236
+,123456789s/22,Serial,topcata,Topics in Catalysis,Topics in Catalysis,1022-5528,1572-9028,,Topics in Catalysis ,a https://www.springer.com/journal/11244
+,123456789s/22,Serial,ijlicyas,International Journal of Life Cycle Assessment,International Journal of Life Cycle Assessment,0948-3349,1614-7502,,International Journal of Life Cycle Assessment ,a https://www.springer.com/journal/11367
+,123456789s/22,Serial,jmountsc,Journal of Mountain Science,Journal of Mountain Science,1672-6316,1993-0321,,Journal of Mountain Science ,a https://www.springer.com/journal/11629
+,123456789s/22,Serial,metmattransapmms,Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,1073-5623,,,Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science ,a https://www.springer.com/journal/11661/
+,123456789s/22,Serial,appbioct,Applied Biochemistry and Biotechnology,Applied Biochemistry and Biotechnology,0273-2289,1559-0291,,Applied Biochemistry and Biotechnology ,a https://www.springer.com/journal/12010
+,123456789s/22,Serial,urbfor,Urban Forum,Urban Forum,1015-3802,1874-6330,,Urban Forum ,a https://www.springer.com/journal/12132
+,123456789s/22,Serial,esin,Earth Science Informatics,Earth Science Informatics,1865-0473,1865-0481,,Earth Science Informatics ,a https://www.springer.com/journal/12145
+,123456789s/22,Serial,bioenres,Bioenergy Research,Bioenergy Research,1939-1234,,,Bioenergy Research ,a https://www.springer.com/journal/12155
+,123456789s/22,Serial,palbiodenv,Palaeobiodiversity and Palaeoenvironments,Palaeobiodiversity and Palaeoenvironments,1867-1594,1867-1608,,Palaeobiodiversity and Palaeoenvironments ,a https://www.springer.com/journal/12549
+,123456789s/22,Serial,congenres,Conservation Genetics Resources,Conservation Genetics Resources,1877-7260,,,Conservation Genetics Resources ,a https://www.springer.com/journal/12686
+,123456789s/22,Serial,euphyjpl,The European Physical Journal Plus,The European Physical Journal Plus,2190-5444,2190-5444,,The European Physical Journal Plus ,a https://www.springer.com/journal/13360
+,123456789s/22,Serial,intjamt,International Journal of Advanced Manufacturing Technology,International Journal of Advanced Manufacturing Technology,0268-3768,1433-3015,,International Journal of Advanced Manufacturing Technology ,a https://www.springer.com/journal/170
+,123456789s/22,Serial,anabiochem,Analytical and Bioanalytical Chemistry,Analytical and Bioanalytical Chemistry,1618-2642,1618-2650,,Analytical and Bioanalytical Chemistry ,a https://www.springer.com/journal/216
+,123456789s/22,Serial,woscitec,Wood Science and Technology,Wood Science and Technology,0043-7719,1432-5225,,Wood Science and Technology ,a https://www.springer.com/journal/226
+,123456789s/22,Serial,appmicbiot,Applied Microbiology and Biotechnology,Applied Microbiology and Biotechnology,0175-7598,1432-0614,,Applied Microbiology and Biotechnology ,a https://www.springer.com/journal/253
+,123456789s/22,Serial,injeeen,International Journal of Energy and Environmental Engineering,International Journal of Energy and Environmental Engineering,2008-9163,2251-6832,,International Journal of Energy and Environmental Engineering ,a https://www.springer.com/journal/40095
+,123456789s/22,Serial,emcscitec,Emission Control Science and Technology,Emission Control Science and Technology,2199-3629,2199-3637,,Emission Control Science and Technology ,a https://www.springer.com/journal/40825
+,123456789s/22,Serial,injmetalc,International Journal of Metalcasting,International Journal of Metalcasting,1939-5981,2163-3193,,International Journal of Metalcasting ,a https://www.springer.com/journal/40962
+,123456789s/22,Serial,canjph,Canadian Journal of Public Health,Canadian Journal of Public Health,0008-4263,1920-7476,,Canadian Journal of Public Health ,a https://www.springer.com/journal/41997
+,123456789s/22,Serial,micchiact,Microchimica Acta,Microchimica Acta,0026-3672,1436-5073,,Microchimica Acta ,a https://www.springer.com/journal/604
+,123456789s/22,Serial,jmolecmod,Journal of Molecular Modeling,Journal of Molecular Modeling,1610-2940,0948-5023,,Journal of Molecular Modeling ,a https://www.springer.com/journal/894
+,123456789s/22,Serial,wetlands,Wetlands,Wetlands,0277-5212,1943-6246,,Wetlands ,a https://www.springer.com/life+sciences/ecology/journal/13157
